"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10","Npop11","Npop12"
0.9,1,1,1,1,1,1,1,1,1,1
1,0.85,1,1,1,1,1,1,1,1,1
1,0.95,0.95,1,0.95,1,1,1,1,1,1
1,0.95,0.85,1,1,0.95,1,1,1,1,1
0.8,1,1,1,1,1,1,1,1,1,1
0.9,0.95,0.8,1,0.95,1,1,1,1,1,1
0.7,1,1,1,1,1,1,1,1,1,1
0.8,1,1,1,1,1,1,1,1,1,1
0.9,0.9,1,1,1,1,1,1,1,1,1
0.8,0.9,0.75,1,0.95,1,1,1,1,1,1
0.7,1,1,1,1,1,1,1,1,1,1
0.75,0.95,1,1,1,1,1,1,1,1,1
0.8,0.9,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,0.95,1,1,1,1,1,1,1,1
1,0.95,1,1,1,1,1,1,1,1,1
0.9,0.95,1,1,1,1,1,1,1,1,1
0.95,0.95,1,1,1,1,1,1,1,1,1
1,1,1,1,0.95,1,1,1,1,1,1
0.8,0.9,1,0.95,1,1,1,1,1,1,1
1,1,0.95,1,1,1,1,1,1,1,1
0.95,0.9,1,1,1,1,1,1,1,1,1
0.85,1,1,1,1,1,1,1,1,1,1
1,1,0.95,1,1,1,1,1,1,1,1
0.95,0.85,0.9,1,1,1,1,1,1,1,1
0.8,1,0.95,1,1,1,1,1,1,1,1
0.95,0.95,1,1,1,0.95,1,1,1,1,1
1,0.9,0.95,1,1,1,1,1,1,1,1
0.8,0.9,0.95,1,1,1,1,1,1,1,1
0.9,1,1,1,1,1,1,1,1,1,1
0.8,1,1,0.95,1,0.95,1,1,1,1,1
0.9,0.8,0.95,1,1,1,1,1,1,1,1
0.8,0.95,0.95,1,1,1,1,1,1,1,1
0.75,1,1,1,1,1,1,1,1,1,1
0.85,0.9,0.95,1,1,1,1,1,1,1,1
0.95,0.9,1,1,1,1,1,1,1,1,1
1,0.9,1,1,0.95,1,1,1,1,1,1
1,1,0.95,1,1,1,1,1,1,1,1
0.75,1,0.95,1,1,0.95,1,1,1,1,1
1,0.9,1,1,1,1,1,1,1,1,1
0.8,1,1,1,1,1,1,1,1,1,1
0.9,1,1,1,0.95,1,1,1,1,1,1
0.9,0.85,1,0.95,1,1,1,1,1,1,1
0.8,1,1,1,1,1,1,1,1,1,1
0.95,1,0.95,1,1,1,0.95,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0.75,0.85,1,1,1,1,1,1,1,1,1
1,0.9,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0.85,0.9,1,1,1,1,1,1,1,1,1
1,0.8,0.9,1,1,1,1,1,1,1,1
0.8,1,1,0.95,0.95,1,1,1,1,1,1
1,1,0.95,1,1,1,1,1,1,1,1
1,0.95,1,0.95,1,1,1,1,1,1,1
1,1,1,0.9,1,1,1,1,1,1,1
1,1,1,1,0.95,1,1,1,1,1,1
1,1,0.95,1,0.95,1,1,1,1,1,1
0.7,0.8,0.95,1,1,1,1,1,1,1,1
1,1,0.95,1,1,1,1,1,1,1,1
0.85,0.8,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0.7,0.9,1,0.95,1,1,1,1,1,1,1
1,0.9,0.9,1,1,1,1,1,1,1,1
0.8,1,1,1,1,1,1,1,1,1,1
0.7,1,0.95,1,1,1,1,1,1,1,1
0.7,1,1,0.95,1,1,1,1,1,1,1
0.75,1,1,1,1,1,1,1,1,1,1
1,0.95,1,1,0.95,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0.9,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0.9,0.95,0.95,0.9,0.95,1,1,1,1,1,1
1,0.9,0.95,1,0.9,1,1,1,1,1,1
0.8,1,1,1,1,1,1,1,1,1,1
1,0.95,1,1,1,1,1,1,1,1,1
0.9,0.8,1,0.95,1,1,1,1,1,1,1
0.8,0.95,1,1,1,1,1,1,1,1,1
1,0.85,0.95,1,1,1,1,1,1,1,1
0.85,0.75,1,1,1,1,1,1,1,1,1
0.8,1,1,1,1,1,1,1,1,1,1
1,1,0.9,1,1,1,1,1,1,1,1
0.8,1,1,1,1,1,1,1,1,1,1
0.95,0.95,1,1,1,1,1,1,1,1,1
0.95,1,1,1,1,1,1,1,1,1,1
0.95,0.75,1,1,0.95,1,1,1,1,1,1
1,0.8,1,1,1,1,1,1,1,1,1
0.9,1,1,1,1,1,1,1,1,1,1
1,0.8,0.8,1,1,1,1,1,1,1,1
0.85,0.8,1,1,0.95,1,1,1,1,1,1
0.8,0.7,0.95,0.95,0.95,1,1,1,1,1,1
0.95,1,0.95,0.95,1,1,1,1,1,1,1
0.85,0.85,1,1,0.9,1,1,1,1,1,1
0.85,1,0.95,1,1,1,1,1,1,1,1
0.9,0.9,1,1,1,1,1,1,1,1,1
0.85,0.95,0.95,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0.85,0.95,0.9,0.95,1,1,1,1,1,1,1
0.7,0.9,1,0.9,1,1,1,1,1,1,1
0.8,1,1,1,1,1,1,1,1,1,1
0.9,0.8,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0.9,0.9,0.95,0.95,1,1,1,1,1,1,1
0.7,1,1,1,1,1,1,1,1,1,1
0.7,1,1,1,1,1,1,1,1,1,1
1,0.8,1,1,1,1,1,1,1,1,1
0.9,0.85,1,1,1,1,1,1,1,1,1
0.7,1,1,1,1,1,1,1,1,1,1
1,0.8,0.95,0.95,0.9,1,1,1,1,1,1
0.85,1,1,0.95,1,1,1,1,1,1,1
0.9,0.85,1,1,1,1,1,1,1,1,1
1,1,1,1,0.95,1,1,1,1,1,1
0.85,1,0.95,1,1,1,1,1,1,1,1
0.75,0.95,1,1,1,1,1,1,1,1,1
1,0.9,1,1,1,1,1,1,1,1,1
0.85,1,1,1,0.95,1,1,1,1,1,1
0.8,0.9,1,1,1,1,1,1,1,1,1
0.8,0.95,1,1,1,1,1,1,1,1,1
1,0.95,1,0.95,1,1,1,1,1,1,1
1,0.95,1,0.95,1,1,1,1,1,1,1
0.9,1,1,0.95,1,1,1,1,1,1,1
0.85,1,1,0.95,0.95,1,1,1,1,1,1
0.85,0.8,1,0.95,1,1,0.95,1,1,1,1
0.75,0.95,0.95,1,1,1,1,1,1,1,1
0.9,0.95,1,1,1,1,1,1,1,1,1
0.85,1,0.95,1,1,1,1,1,1,1,1
0.9,1,1,1,1,1,1,1,1,1,1
0.8,0.7,0.95,1,1,1,1,1,1,1,1
0.85,1,0.95,1,1,1,1,1,1,1,1
0.9,1,1,1,1,1,1,1,1,1,1
1,1,1,0.95,1,0.95,1,1,1,1,1
1,1,1,0.9,1,1,1,1,1,1,1
0.9,1,0.85,1,1,0.95,1,1,1,1,1
0.7,1,0.95,1,1,1,1,1,1,1,1
1,0.95,1,0.95,1,1,1,1,1,1,1
0.8,0.95,1,1,1,1,1,1,1,1,1
0.95,0.95,0.9,1,1,1,1,1,1,1,1
0.8,0.9,0.95,0.95,1,1,1,1,1,1,1
0.95,1,0.85,1,1,1,1,1,1,1,1
0.75,0.9,1,1,1,1,1,1,1,1,1
1,1,0.95,0.95,1,1,1,1,1,1,1
0.9,0.95,0.95,1,1,1,1,1,1,1,1
0.95,1,0.9,1,1,1,1,1,1,1,1
0.95,1,0.95,1,1,1,1,1,1,1,1
0.8,1,1,1,1,0.9,1,1,1,1,1
0.95,0.9,1,0.95,1,1,1,1,1,1,1
0.9,0.95,0.9,1,1,1,1,1,1,1,1
1,0.85,1,1,0.95,0.95,1,1,1,1,1
0.9,1,1,1,1,1,1,1,1,1,1
0.9,0.8,1,1,1,1,1,1,1,1,1
0.9,1,1,1,1,1,1,1,1,1,1
0.75,0.95,1,1,1,1,1,1,1,1,1
1,0.95,1,1,1,1,1,1,1,1,1
1,0.9,1,1,1,1,1,1,1,1,1
0.75,1,1,0.9,0.95,1,1,1,1,1,1
0.75,0.9,1,0.9,1,1,1,1,1,1,1
0.9,0.9,0.85,1,1,1,1,1,1,1,1
0.9,1,1,1,1,1,1,1,1,1,1
0.9,0.95,1,1,1,1,1,1,1,1,1
0.9,0.95,1,1,1,1,1,1,1,1,1
0.75,1,1,0.9,1,1,1,1,1,1,1
1,1,0.95,0.95,0.95,1,1,1,1,1,1
1,1,1,0.95,1,1,1,1,1,1,1
0.85,0.8,0.9,1,1,1,1,1,1,1,1
0.95,1,0.95,1,1,1,1,1,1,1,1
1,0.95,0.95,1,1,1,1,1,1,1,1
0.8,0.9,0.9,0.95,1,1,1,1,1,1,1
1,0.95,0.9,1,1,1,1,1,1,1,1
0.95,0.95,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0.75,1,1,0.9,1,1,1,1,1,1,1
0.95,0.9,0.95,1,1,1,1,1,1,1,1
0.95,1,0.9,1,1,1,1,1,1,1,1
1,1,0.95,1,1,1,1,1,1,1,1
1,0.75,1,0.95,1,1,1,1,1,1,1
0.9,0.9,1,0.9,1,1,1,1,1,1,1
0.75,0.95,1,1,1,1,1,1,1,1,1
0.9,0.8,0.95,1,1,1,1,1,1,1,1
1,0.9,0.9,1,1,1,0.95,1,1,1,1
1,1,0.95,1,1,1,1,1,1,1,1
0.8,0.9,0.85,0.95,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,0.95,1,1,1,1,1,1,1,1,1
0.7,0.95,0.95,1,1,1,1,1,1,1,1
0.8,0.8,1,1,0.95,1,1,1,1,1,1
0.8,0.95,0.9,1,0.95,1,1,1,1,1,1
1,0.9,1,1,1,1,1,1,1,1,1
1,1,1,0.95,1,1,1,1,1,1,1
0.8,0.85,0.95,1,0.95,1,1,1,1,1,1
1,1,0.95,1,1,1,1,1,1,1,1
0.8,1,1,1,1,1,1,1,1,1,1
0.75,0.85,1,1,1,1,1,1,1,1,1
0.95,1,1,1,1,1,1,1,1,1,1
0.9,1,1,1,1,1,1,1,1,1,1
0.8,0.85,0.85,0.95,1,1,1,1,1,1,1
0.9,1,0.9,1,1,1,1,1,1,1,1
0.9,0.95,1,1,1,1,1,1,1,1,1
0.95,0.8,1,0.95,1,1,1,1,1,1,1
0.95,1,1,1,1,1,1,1,1,1,1
0.9,0.8,1,1,1,1,1,1,1,1,1
1,1,0.95,1,1,1,1,1,1,1,1
0.75,1,1,1,0.95,1,1,1,1,1,1
0.95,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0.85,1,1,1,0.95,1,1,1,1,1,1
1,0.95,1,1,1,1,1,1,1,1,1
0.95,1,1,1,1,1,1,1,1,1,1
0.8,1,0.95,1,1,1,1,1,1,1,1
0.7,0.85,0.9,0.95,1,1,1,1,1,1,1
0.9,1,1,1,1,1,1,1,1,1,1
0.8,0.9,0.95,1,1,1,1,1,1,1,1
0.75,1,0.9,1,1,1,1,1,1,1,1
0.9,1,1,1,1,1,1,1,1,1,1
0.9,0.9,0.9,1,1,1,1,1,1,1,1
1,1,1,0.85,1,1,1,1,1,1,1
0.8,1,0.9,1,1,1,1,1,1,1,1
1,1,0.9,1,1,1,1,1,1,1,1
0.9,0.95,1,0.95,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0.95,1,0.95,1,1,1,1,1,1,1,1
0.85,0.9,0.85,1,1,1,1,1,1,1,1
0.95,0.9,1,0.95,1,1,1,1,1,1,1
0.8,0.95,0.95,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0.8,0.75,0.85,1,1,1,1,1,1,1,1
0.9,0.9,1,1,1,1,1,1,1,1,1
0.9,1,0.95,1,1,1,1,1,1,1,1
0.85,1,1,0.95,1,1,1,1,1,1,1
0.7,0.8,1,1,1,1,1,1,1,1,1
0.9,0.8,1,0.95,1,1,1,1,1,1,1
1,0.9,1,0.95,1,1,1,1,1,1,1
1,0.9,1,1,1,1,1,1,1,1,1
0.8,0.95,1,1,1,1,1,1,1,1,1
0.85,1,0.95,1,0.95,1,1,1,1,1,1
1,0.8,0.95,1,1,1,1,1,1,1,1
0.75,0.95,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,0.9,1,1,1,1,1,1,1
1,1,1,0.95,1,1,1,1,1,1,1
1,1,1,0.9,1,1,1,1,1,1,1
0.95,0.95,1,1,1,1,1,1,1,1,1
0.9,1,1,1,1,0.95,1,1,1,1,1
0.8,1,1,1,1,1,1,1,1,1,1
0.95,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0.75,0.9,1,1,1,1,1,1,1,1,1
0.8,0.9,1,0.95,1,1,1,1,1,1,1
0.9,0.9,1,1,1,1,1,1,1,1,1
1,0.8,0.85,1,1,1,1,1,1,1,1
0.8,0.85,0.9,0.95,1,1,1,1,1,1,1
0.9,1,0.8,1,1,0.95,1,1,1,1,1
0.9,0.9,0.95,1,1,0.95,1,1,1,1,1
1,0.95,0.8,1,1,0.95,1,1,1,1,1
1,0.8,1,0.9,1,1,1,1,1,1,1
1,0.9,1,0.9,1,1,1,1,1,1,1
0.95,0.9,1,1,1,1,1,1,1,1,1
1,1,0.9,1,1,1,1,1,1,1,1
0.95,0.95,1,1,1,1,1,1,1,1,1
1,0.9,0.9,1,1,1,1,1,1,1,1
0.85,0.95,0.95,1,0.9,0.95,1,1,1,1,1
0.9,1,1,1,1,1,1,1,1,1,1
0.85,0.85,1,1,1,0.95,1,1,1,1,1
1,0.9,1,1,0.95,1,1,1,1,1,1
0.7,0.9,1,1,1,1,1,1,1,1,1
0.9,0.95,1,1,0.9,1,1,1,1,1,1
0.75,1,1,0.95,1,1,1,1,1,1,1
1,1,1,1,1,0.95,1,1,1,1,1
0.75,1,1,0.95,0.95,1,1,1,1,1,1
0.75,0.95,0.85,0.9,1,1,1,1,1,1,1
0.9,0.9,1,1,1,1,1,1,1,1,1
0.95,1,0.95,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,0.95,0.95,1,1,1,1,1,1,1,1
0.7,1,1,0.95,1,1,1,1,1,1,1
0.85,0.95,1,1,1,1,1,1,1,1,1
1,0.85,1,0.95,1,1,1,1,1,1,1
1,0.95,1,1,0.95,1,1,1,1,1,1
0.95,0.8,1,0.95,1,1,1,1,1,1,1
0.8,0.95,1,1,1,1,1,1,1,1,1
0.95,1,1,1,0.95,1,1,1,1,1,1
0.8,1,1,1,1,1,1,1,1,1,1
0.8,1,0.95,1,1,1,1,1,1,1,1
0.75,1,1,0.95,1,1,1,1,1,1,1
0.95,1,0.95,0.9,1,1,1,1,1,1,1
1,1,1,0.95,1,1,1,1,1,1,1
1,0.8,0.9,1,1,1,1,1,1,1,1
0.8,0.9,0.95,1,1,1,1,1,1,1,1
0.7,1,1,1,1,1,1,1,1,1,1
0.8,0.95,1,0.95,1,1,1,1,1,1,1
0.95,0.95,0.95,1,1,1,1,1,1,1,1
1,0.95,0.95,1,1,1,1,1,1,1,1
0.8,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0.75,1,0.95,1,1,1,1,1,1,1,1
1,0.95,0.9,0.95,1,1,1,1,1,1,1
0.85,1,0.95,0.95,0.95,1,1,1,1,1,1
0.95,1,1,1,1,1,1,1,1,1,1
0.9,0.9,0.85,1,1,1,1,1,1,1,1
1,1,0.95,1,1,1,1,1,1,1,1
1,0.9,1,1,1,1,1,1,1,1,1
0.9,0.8,1,1,1,1,1,1,1,1,1
0.95,0.8,1,1,1,1,1,1,1,1,1
0.95,1,1,0.95,1,1,1,1,1,1,1
0.9,1,1,0.95,1,1,1,1,1,1,1
1,1,0.95,1,1,1,1,1,1,1,1
1,0.95,0.95,1,1,1,1,1,1,1,1
1,0.95,1,1,1,1,1,1,1,1,1
1,0.85,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,0.8,1,1,1,1,1,1,1,1,1
0.8,1,1,1,1,1,1,1,1,1,1
0.8,1,1,0.95,1,1,1,1,1,1,1
1,0.9,1,0.95,1,1,1,1,1,1,1
0.9,1,1,1,1,1,1,1,1,1,1
1,0.9,1,1,1,0.95,1,1,1,1,1
1,1,0.95,1,1,1,1,1,1,1,1
0.9,1,1,1,1,0.95,0.95,1,1,1,1
0.85,0.9,0.9,0.95,1,1,1,1,1,1,1
0.8,0.85,1,1,1,1,1,1,1,1,1
0.75,0.95,0.9,0.95,0.95,1,1,1,1,1,1
0.9,1,1,1,1,1,1,1,1,1,1
0.75,0.95,1,1,1,1,1,1,1,1,1
0.9,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,0.95,0.95,1,1,1,1,1,1,1,1
0.75,1,1,1,1,1,1,1,1,1,1
0.95,0.95,1,0.9,1,1,1,1,1,1,1
0.8,1,0.85,1,1,1,1,1,1,1,1
0.9,0.95,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,0.95,1,0.95,1,1,1,1,1,1,1
0.8,1,1,1,1,1,1,1,1,1,1
0.8,1,1,0.95,1,1,1,1,1,1,1
0.9,1,0.95,1,1,1,1,1,1,1,1
0.95,0.8,1,1,1,1,1,1,1,1,1
0.9,0.9,1,1,1,1,1,1,1,1,1
0.95,0.9,1,1,1,1,1,1,1,1,1
0.95,1,1,1,1,1,1,1,1,1,1
1,0.95,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,0.95,1,1,1,1,1,1,1,1,1
0.9,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,0.95,1,1,1,1,1,1,1,1,1
0.85,1,1,1,0.9,1,1,1,1,1,1
0.85,1,0.85,1,1,1,1,1,1,1,1
1,0.9,1,1,1,1,1,1,1,1,1
0.7,0.95,0.95,0.95,1,1,1,1,1,1,1
1,0.95,0.95,1,1,0.95,0.95,1,1,1,1
1,0.9,1,1,1,1,1,1,1,1,1
0.8,0.8,1,1,1,1,1,1,1,1,1
0.75,1,1,1,1,1,1,1,1,1,1
1,0.95,0.95,1,1,1,1,1,1,1,1
0.85,0.95,1,1,0.95,1,1,1,1,1,1
0.8,0.95,1,1,0.95,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,0.95,0.95,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0.75,0.8,1,1,1,1,1,1,1,1,1
0.95,0.9,1,0.95,1,1,1,1,1,1,1
1,0.95,1,1,1,1,1,1,1,1,1
0.8,0.75,0.95,0.95,0.95,1,1,1,1,1,1
0.9,0.85,1,1,1,1,1,1,1,1,1
0.9,1,1,1,1,1,1,1,1,1,1
0.9,1,0.95,0.95,1,1,1,1,1,1,1
0.8,1,0.9,1,1,1,1,1,1,1,1
1,1,0.9,1,1,1,1,1,1,1,1
0.8,0.95,0.95,1,1,1,1,1,1,1,1
1,0.95,1,0.95,0.95,0.95,1,1,1,1,1
1,0.95,1,1,1,1,1,1,1,1,1
1,1,0.95,1,1,1,1,1,1,1,1
0.95,1,1,0.95,1,1,1,1,1,1,1
1,1,0.95,1,1,1,1,1,1,1,1
0.95,0.9,0.95,1,1,1,1,1,1,1,1
1,0.95,1,1,0.95,1,1,1,1,1,1
1,1,0.95,1,1,1,1,1,1,1,1
0.85,1,1,0.95,1,1,1,1,1,1,1
0.85,1,0.95,1,1,1,1,1,1,1,1
0.8,1,0.95,1,1,1,1,1,1,1,1
1,1,1,1,0.95,0.95,1,1,1,1,1
0.8,1,0.85,0.95,1,1,1,1,1,1,1
0.75,0.9,1,1,1,1,1,1,1,1,1
0.8,1,1,0.95,1,1,1,1,1,1,1
0.85,0.9,0.9,1,1,1,1,1,1,1,1
0.9,0.95,1,1,0.95,1,1,1,1,1,1
0.95,1,1,1,1,1,1,1,1,1,1
0.95,1,1,1,0.95,1,1,1,1,1,1
1,1,0.85,1,1,1,1,1,1,1,1
1,0.95,1,1,1,1,1,1,1,1,1
0.9,1,0.95,1,1,1,1,1,1,1,1
1,0.85,0.95,1,1,1,1,1,1,1,1
1,1,0.95,1,1,1,1,1,1,1,1
0.9,1,0.95,1,1,1,1,1,1,1,1
1,0.95,1,1,1,1,1,1,1,1,1
0.75,1,1,1,1,1,1,1,1,1,1
0.95,0.9,1,1,1,1,1,1,1,1,1
1,0.95,1,0.95,0.95,1,1,1,1,1,1
0.9,1,0.95,1,1,1,1,1,1,1,1
1,1,1,0.85,1,1,1,1,1,1,1
0.9,0.95,1,1,1,0.95,1,1,1,1,1
1,0.9,1,0.95,0.95,1,1,1,1,1,1
0.9,0.95,0.95,1,1,1,1,1,1,1,1
0.75,1,1,1,1,1,1,1,1,1,1
0.8,1,0.95,0.95,1,1,1,1,1,1,1
0.9,0.95,1,1,1,1,1,1,1,1,1
1,0.9,0.9,1,1,1,1,1,1,1,1
1,0.95,0.9,1,1,1,1,1,1,1,1
0.8,1,1,1,1,1,1,1,1,1,1
0.8,0.8,0.95,1,1,1,1,1,1,1,1
0.8,1,0.95,1,1,1,1,1,1,1,1
0.9,1,0.95,1,1,1,1,1,1,1,1
0.8,0.8,0.9,1,1,1,1,1,1,1,1
0.9,1,1,1,1,1,1,1,1,1,1
0.8,1,1,1,0.95,1,1,1,1,1,1
0.8,0.9,0.9,1,1,1,1,1,1,1,1
0.9,1,1,1,1,1,1,1,1,1,1
1,1,0.9,1,1,1,1,1,1,1,1
0.9,0.9,0.95,1,1,1,1,1,1,1,1
0.75,0.8,1,1,1,1,1,1,1,1,1
0.95,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0.8,1,1,0.95,1,0.95,1,1,1,1,1
0.95,1,1,1,1,1,1,1,1,1,1
0.9,1,1,0.95,1,1,1,1,1,1,1
0.8,0.85,0.9,1,1,1,1,1,1,1,1
0.8,1,0.85,1,1,1,1,1,1,1,1
1,0.9,1,1,1,1,1,1,1,1,1
0.85,1,0.75,1,1,1,1,1,1,1,1
0.9,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0.95,1,0.95,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0.8,0.95,1,1,1,0.95,1,1,1,1,1
1,0.9,1,0.95,1,1,1,1,1,1,1
1,0.95,1,1,1,1,1,1,1,1,1
1,1,0.9,0.95,0.95,1,1,1,1,1,1
1,0.75,0.95,0.95,1,1,1,1,1,1,1
1,1,0.95,1,1,1,1,1,1,1,1
0.85,0.95,1,1,1,1,1,1,1,1,1
1,0.9,1,1,1,1,1,1,1,1,1
0.8,1,1,1,1,1,1,1,1,1,1
0.8,0.9,1,1,1,1,1,1,1,1,1
0.95,0.8,1,0.95,1,1,1,1,1,1,1
0.85,0.95,1,1,1,1,1,1,1,1,1
1,1,0.9,1,1,1,0.95,1,1,1,1
0.7,0.85,1,1,1,0.95,1,1,1,1,1
1,0.95,1,1,1,1,1,1,1,1,1
0.8,1,1,0.95,1,1,1,1,1,1,1
0.9,0.8,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0.8,1,1,1,1,1,1,1,1,1,1
0.8,1,0.95,1,1,0.95,1,1,1,1,1
1,0.85,1,1,1,1,1,1,1,1,1
0.8,1,1,0.95,1,1,1,1,1,1,1
0.8,1,1,1,1,1,1,1,1,1,1
0.8,1,1,0.95,1,1,1,1,1,1,1
0.95,1,0.95,0.9,1,1,1,1,1,1,1
0.95,0.95,0.9,1,1,1,1,1,1,1,1
0.8,1,1,1,1,1,1,1,1,1,1
0.8,1,1,1,1,1,1,1,1,1,1
1,0.85,1,1,1,0.95,1,1,1,1,1
1,1,0.95,0.95,1,1,1,1,1,1,1
0.75,0.85,1,1,1,1,1,1,1,1,1
1,1,0.9,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0.8,1,1,1,1,1,1,1,1,1,1
1,0.95,1,1,1,1,1,1,1,1,1
0.95,1,1,0.95,0.95,1,1,1,1,1,1
0.95,0.95,1,1,0.95,1,1,1,1,1,1
0.8,1,1,1,1,1,1,1,1,1,1
0.8,1,1,1,1,1,1,1,1,1,1
0.9,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0.85,1,1,1,1,1,1,1,1,1,1
0.9,0.9,0.9,1,1,0.95,1,1,1,1,1
1,0.85,0.95,1,0.95,1,1,1,1,1,1
0.75,0.95,0.95,0.95,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0.8,0.95,0.95,1,1,1,1,1,1,1,1
0.8,0.95,1,1,1,1,1,1,1,1,1
0.95,0.85,1,1,1,1,1,1,1,1,1
0.75,1,1,0.95,1,1,1,1,1,1,1
1,0.85,1,1,1,1,1,1,1,1,1
1,1,0.9,0.9,1,1,1,1,1,1,1
0.85,0.8,1,1,1,1,1,1,1,1,1
0.9,1,1,1,1,1,1,1,1,1,1
0.7,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0.85,0.9,1,1,0.95,1,1,1,1,1,1
0.75,1,1,1,1,0.95,1,1,1,1,1
0.8,0.95,1,1,1,1,1,1,1,1,1
0.85,0.85,0.9,0.95,0.95,1,1,1,1,1,1
0.95,1,1,1,1,1,1,1,1,1,1
1,0.95,0.95,1,1,1,1,1,1,1,1
1,1,0.9,0.95,1,1,1,1,1,1,1
0.85,1,1,1,1,1,1,1,1,1,1
0.8,0.8,1,0.95,1,1,1,1,1,1,1
0.75,1,0.95,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,0.9,0.95,1,1,1,1,1,1,1,1
0.8,1,1,1,1,1,1,1,1,1,1
